// Compost colors for rats. You may add your own colors, change existing ones, or remove colors that aren't needed.
air_raid_siren, #b6ab96
plague_stew, #73784a
plague_tome, #8d6e7c
plastic_waste, #ffffff
potato_knishes, #e8ca94
potato_pancake, #ffffff
psionic_rat_brain, #4bffff
purifying_liquid, #ffffff
radius_stick, #9d988a
rat_arrow, #ffffff
rat_attractor, #ffff9d
rat_breeding_lantern, #ffffff
rat_burger, #daab72
rat_capture_net, #c0aba0
rat_fez, #ffdcc2
rat_flute, #ffffff
rat_hammock_black, #ffffff
rat_hammock_blue, #ffffff
rat_hammock_brown, #ffffff
rat_hammock_cyan, #ffffff
rat_hammock_gray, #ffffff
rat_hammock_green, #ffffff
rat_hammock_light_blue, #ffffff
rat_hammock_light_gray, #ffffff
rat_hammock_lime, #ffffff
rat_hammock_magenta, #ffffff
rat_hammock_orange, #ffffff
rat_hammock_pink, #ffffff
rat_hammock_purple, #ffffff
rat_hammock_red, #ffffff
rat_hammock_white, #ffffff
rat_hammock_yellow, #ffffff
rat_igloo_black, #ffffff
rat_igloo_blue, #ffffff
rat_igloo_brown, #ffffff
rat_igloo_cyan, #ffffff
rat_igloo_gray, #ffffff
rat_igloo_green, #ffffff
rat_igloo_light_blue, #ffffff
rat_igloo_light_gray, #ffffff
rat_igloo_lime, #ffffff
rat_igloo_magenta, #ffffff
rat_igloo_orange, #ffffff
rat_igloo_pink, #ffffff
rat_igloo_purple, #ffffff
rat_igloo_red, #ffffff
rat_igloo_white, #ffffff
rat_igloo_yellow, #ffffff
rat_king_crown, #fffffb
rat_nugget, #dacdc5
rat_nugget_ore, #f4e8e3
rat_papers, #827a4b
rat_paw, #ffffff
rat_pelt, #e0d7d7
rat_sack, #c3a187
rat_seed_bowl, #ffffff
rat_skull, #ffffff
rat_toga, #ffffff
rat_tube_black, #ffffff
rat_tube_blue, #ffffff
rat_tube_brown, #ffffff
rat_tube_cyan, #ffffff
rat_tube_gray, #ffffff
rat_tube_green, #ffffff
rat_tube_light_blue, #ffffff
rat_tube_light_gray, #ffffff
rat_tube_lime, #ffffff
rat_tube_magenta, #ffffff
rat_tube_orange, #ffffff
rat_tube_pink, #ffffff
rat_tube_purple, #ffffff
rat_tube_red, #ffffff
rat_tube_white, #ffffff
rat_tube_yellow, #ffffff
rat_upgrade_advanced_energy, #fefbbc
rat_upgrade_angel, #ffffe1
rat_upgrade_aquatic, #eef7c2
rat_upgrade_archeologist, #ffe7a5
rat_upgrade_aristocrat, #fef89a
rat_upgrade_armor, #ffffcf
rat_upgrade_asbestos, #ffcc8d
rat_upgrade_automaton_mount, #ffffd7
rat_upgrade_basic, #f4ffd2
rat_upgrade_basic_energy, #ffeb87
rat_upgrade_basic_mount, #fff5a8
rat_upgrade_basic_ratlantean, #fffffe
rat_upgrade_beast_mount, #ffdd98
rat_upgrade_bee, #fffaa5
rat_upgrade_big_bucket, #f0d7ac
rat_upgrade_biplane_mount, #f8ebb5
rat_upgrade_blacklist, #f7e096
rat_upgrade_bottler, #fae196
rat_upgrade_bow, #fffa9e
rat_upgrade_breeder, #fff0c0
rat_upgrade_buccaneer, #ffffe4
rat_upgrade_bucket, #ffffd6
rat_upgrade_carrat, #fffe90
rat_upgrade_chef, #ffffc6
rat_upgrade_chicken_mount, #ffffbb
rat_upgrade_christmas, #fff4ae
rat_upgrade_combined, #fffffa
rat_upgrade_combined_creative, #fff1f5
rat_upgrade_crafting, #f1d398
rat_upgrade_creative, #ff89c8
rat_upgrade_crossbow, #fff49b
rat_upgrade_damage_protection, #ffd287
rat_upgrade_demon, #ffcf86
rat_upgrade_disenchanter, #ffcc9a
rat_upgrade_dj, #ffea6b
rat_upgrade_dragon, #ffd690
rat_upgrade_elite_energy, #ffff80
rat_upgrade_enchanter, #f0ddb4
rat_upgrade_ender, #f1f8b4
rat_upgrade_ethereal, #fffff8
rat_upgrade_extreme_energy, #fffff4
rat_upgrade_farmer, #fff59a
rat_upgrade_feral_bite, #ffffea
rat_upgrade_fisherman, #ffffb8
rat_upgrade_flight, #fffbca
rat_upgrade_gardener, #f2d74d
rat_upgrade_god, #ffffe1
rat_upgrade_golem_mount, #ffffcd
rat_upgrade_health, #ffd38d
rat_upgrade_idol, #ffff40
rat_upgrade_jury_rigged, #fff8af
rat_upgrade_lumberjack, #e1ac7a
rat_upgrade_milker, #fbeabc
rat_upgrade_mob_filter, #eecf75
rat_upgrade_no_flute, #ffe09d
rat_upgrade_nonbeliever, #fffff1
rat_upgrade_ore_doubling, #fbeaa2
rat_upgrade_pickpocket, #aef443
rat_upgrade_placer, #f0d39d
rat_upgrade_platter, #ffffd0
rat_upgrade_poison, #ffffbe
rat_upgrade_psychic, #ffffff
rat_upgrade_quarry, #e3d7c0
rat_upgrade_ratinator, #ffffff
rat_upgrade_remedy, #feca32
rat_upgrade_replanter, #ffff97
rat_upgrade_sculked, #76c6b5
rat_upgrade_shears, #ffffc6
rat_upgrade_speed, #ffdd96
rat_upgrade_strength, #fff2b5
rat_upgrade_strider_mount, #ffe8ae
rat_upgrade_support, #cdff7f
rat_upgrade_tick_accelerator, #ebb16b
rat_upgrade_time_manipulator, #e7bc50
rat_upgrade_tnt, #ffd9a5
rat_upgrade_tnt_survivor, #d3e6af
rat_upgrade_undead, #ffffbb
rat_upgrade_underwater, #faffd9
rat_upgrade_voodoo, #ffcdbe
rat_upgrade_warrior, #defab4
rat_upgrade_whitelist, #ffffe1
rat_water_bottle, #ffffff
rat_wheel, #e1e1e1
rat_whistle, #585858
ratbot_barrel, #ffffff
ratbow_essence, #dee1ee
ratfish, #fffefe
ratfish_bucket, #a4a1a7
ratglove_flower, #73c561
ratglove_petals, #5b4054
ratlantean_flame, #ffff98
ratlantis_axe, #ab8941
ratlantis_boots, #a8803c
ratlantis_bow, #bb9341
ratlantis_chestplate, #fce3b1
ratlantis_helmet, #f2d6a4
ratlantis_hoe, #906f2f
ratlantis_leggings, #b99348
ratlantis_pickaxe, #916f2c
ratlantis_rat_skull, #fffff1
ratlantis_shovel, #ab8d47
ratlantis_sword, #a8863d
rattling_gun, #342d25
raw_oratchalcum, #9d6e3c
raw_plastic, #f2faff
raw_rat, #ffffff
santa_hat, #ffc2bf
string_cheese, #a0905f
tangled_rat_tails, #fffffa
tiny_coin, #fff4b9
token_fragment, #ffffff
token_piece, #fffffa
top_hat, #b5acac
treacle, #ffffff
vial_of_sentience, #ffffff
