// Compost colors for iceandfire. You may add your own colors, change existing ones, or remove colors that aren't needed.
ambrosia, #bb8483
dragonegg_electric, #181257
dragonegg_gray, #484646
dragonegg_green, #25612c
dragonegg_red, #7d140f
dragonegg_sapphire, #4352af
dragonegg_silver, #b1b5be
dragonegg_white, #fcfcfc
dragonscales_amythest, #362254
dragonscales_black, #222222
dragonscales_blue, #faffff
dragonscales_bronze, #785e2f
dragonscales_copper, #55362c
dragonscales_electric, #282254
dragonscales_gray, #736b62
dragonscales_green, #445132
dragonscales_red, #622828
dragonscales_sapphire, #3478bc
dragonscales_silver, #868a8c
dragonscales_white, #ffffff
dragonsteel_fire_axe, #5a5057
dragonsteel_fire_boots, #4e4b52
dragonsteel_fire_chestplate, #5c4a52
dragonsteel_fire_helmet, #524e57
dragonsteel_fire_hoe, #393439
dragonsteel_fire_ingot, #90575c
dragonsteel_fire_leggings, #5a474d
dragonsteel_fire_pickaxe, #373034
dragonsteel_fire_shovel, #40373c
dragonsteel_fire_sword, #ffcf78
dragonsteel_ice_axe, #8e9eac
dragonsteel_ice_boots, #808c93
dragonsteel_ice_chestplate, #acb1bc
dragonsteel_ice_helmet, #72797f
dragonsteel_ice_hoe, #5a6670
dragonsteel_ice_ingot, #8d7986
dragonsteel_ice_leggings, #909eab
dragonsteel_ice_pickaxe, #58656f
dragonsteel_ice_shovel, #667680
dragonsteel_ice_sword, #ffd47d
dragonsteel_lightning_axe, #625079
dragonsteel_lightning_boots, #5a4a72
dragonsteel_lightning_chestplate, #61466e
dragonsteel_lightning_helmet, #5c4d76
dragonsteel_lightning_hoe, #3e3c4d
dragonsteel_lightning_ingot, #76547f
dragonsteel_lightning_leggings, #5b4669
dragonsteel_lightning_pickaxe, #55476b
dragonsteel_lightning_shovel, #504366
dragonsteel_lightning_sword, #ebb268
dread_key, #769eac
dread_knight_sword, #626e75
dread_queen_staff, #90aebe
dread_queen_sword, #ffeb9a
dread_shard, #f7f7f8
dread_sword, #707073
dread_torch, #399abc
earplugs, #ffffff
ectoplasm, #fcffff
fire_dragon_blood, #ffb89b
fire_dragon_flesh, #ff703c
fire_dragon_heart, #ffaa87
fire_lily, #e7470c
fire_stew, #ae5411
fishing_spear, #d4c9af
forest_troll_leather_boots, #363a36
forest_troll_leather_chestplate, #4e524b
forest_troll_leather_helmet, #575448
forest_troll_leather_leggings, #686964
frost_lily, #8d9b89
frost_stew, #799370
frost_troll_leather_boots, #2a2f32
frost_troll_leather_chestplate, #5a6166
frost_troll_leather_helmet, #3d3d3c
frost_troll_leather_leggings, #575b5e
ghost_ingot, #ffffff
ghost_sword, #f7ffff
gold_hippogryph_armor, #ffb832
hippocampus_fin, #aefffa
hippocampus_slapper, #d2fffc
hippogryph_egg, #cabb9e
hippogryph_skull, #afaf93
hippogryph_sword, #43403c
hippogryph_talon, #838273
hydra_arrow, #729839
hydra_fang, #e0d6be
hydra_heart, #c6f182
hydra_skull, #b4b49a
ice_dragon_blood, #86ffff
ice_dragon_flesh, #bcf5ff
ice_dragon_heart, #6bddf0
iron_hippogryph_armor, #878080
lich_staff, #8eb6c5
lightning_dragon_blood, #dd7fff
lightning_dragon_flesh, #c091ff
lightning_dragon_heart, #a036d6
lightning_lily, #dc46e7
lightning_stew, #6c4b6f
manuscript, #e1d4b6
mountain_troll_leather_boots, #292c2d
mountain_troll_leather_chestplate, #5b6568
mountain_troll_leather_helmet, #373736
mountain_troll_leather_leggings, #484d4d
myrmex_desert_axe, #5a3318
myrmex_desert_biolight, #ffd333
myrmex_desert_boots, #683718
myrmex_desert_chestplate, #794419
myrmex_desert_chitin, #f2d2c3
myrmex_desert_egg, #ff983c
myrmex_desert_helmet, #6e4e29
myrmex_desert_hoe, #462f1e
myrmex_desert_leggings, #764020
myrmex_desert_pickaxe, #502d15
myrmex_desert_resin, #ffffe7
myrmex_desert_shovel, #573418
myrmex_desert_staff, #ffffff
myrmex_desert_swarm, #cdf082
myrmex_desert_sword, #763a0e
myrmex_desert_sword_venom, #524825
myrmex_jungle_axe, #194d4d
myrmex_jungle_biolight, #58bf40
myrmex_jungle_boots, #1b5a57
myrmex_jungle_chestplate, #225c5f
myrmex_jungle_chitin, #d0e1dd
myrmex_jungle_egg, #7dc078
myrmex_jungle_helmet, #2f5b5b
myrmex_jungle_hoe, #1c3a3a
myrmex_jungle_leggings, #2a5f5b
myrmex_jungle_pickaxe, #194140
myrmex_jungle_resin, #ffffe6
myrmex_jungle_shovel, #204441
myrmex_jungle_staff, #ffffff
myrmex_jungle_swarm, #8affa2
myrmex_jungle_sword, #2f5547
myrmex_jungle_sword_venom, #265747
myrmex_stinger, #d3e0d7
pixie_dust, #fff4ff
pixie_jar_0, #ffffff
pixie_jar_1, #ffffff
pixie_jar_2, #ffffff
pixie_jar_3, #ffffff
pixie_jar_4, #ffffff
pixie_jar_empty, #ffffff
pixie_wand, #ffe6d0
pixie_wings, #ffabb8
raw_silver, #94aacf
rotten_egg, #cab98a
sapphire_gem, #5776e7
sea_serpent_arrow, #908c80
sea_serpent_fang, #ead9ca
sea_serpent_scales_blue, #3d87ca
sea_serpent_scales_bronze, #bf7c37
sea_serpent_scales_deepblue, #3d5eca
sea_serpent_scales_green, #32963a
sea_serpent_scales_purple, #682991
sea_serpent_scales_red, #bb3d4b
sea_serpent_scales_teal, #37a4bf
seaserpent_skull, #dadabf
sheep_boots, #404040
sheep_chestplate, #aea29b
sheep_helmet, #978980
sheep_leggings, #a8988e
shiny_scales, #3efed6
sickly_dragon_meal, #e8ffd2
silver_axe, #a19a8c
silver_hoe, #938368
silver_ingot, #d7e7ff
silver_nugget, #cfd0c9
silver_pickaxe, #8d8476
silver_shovel, #a8a08c
silver_sword, #b2b5b6
siren_flute, #c6f1af
siren_tear, #d2b168
stone_statue, #ffffff
stymphalian_arrow, #eee4d9
stymphalian_bird_dagger, #6b5544
stymphalian_bird_feather, #68503e
stymphalian_feather_bundle, #6c5243
stymphalian_skull, #7d5a40
summoning_crystal_fire, #ffe3ac
summoning_crystal_ice, #d9ffff
summoning_crystal_lightning, #ffacff
tide_blue_boots, #306ca2
tide_blue_chestplate, #4da7d3
tide_blue_helmet, #2289a0
tide_blue_leggings, #50a1e4
tide_bronze_boots, #b97639
tide_bronze_chestplate, #9ea48c
tide_bronze_helmet, #5a6f66
tide_bronze_leggings, #c68951
tide_deepblue_boots, #203068
tide_deepblue_chestplate, #3e65aa
tide_deepblue_helmet, #306294
tide_deepblue_leggings, #4393c3
tide_green_boots, #3dbe51
tide_green_chestplate, #43c886
tide_green_helmet, #338a65
tide_green_leggings, #44c88a
tide_purple_boots, #7c0bcc
tide_purple_chestplate, #7a61d3
tide_purple_helmet, #4b508d
tide_purple_leggings, #7c5eda
tide_red_boots, #ca3947
tide_red_chestplate, #9b688e
tide_red_helmet, #5a4d6b
tide_red_leggings, #b2475a
tide_teal_boots, #3da8c5
tide_teal_chestplate, #4ea4d3
tide_teal_helmet, #336f8d
tide_teal_leggings, #3694b2
tide_trident_inventory, #84a4b9
troll_leather_forest, #46504a
troll_leather_frost, #546269
troll_leather_mountain, #4d5457
troll_skull, #b9b9a0
troll_tusk, #949182
weezer_blue_album, #a1f5ff
wither_shard, #444444
witherbone, #3a3a3a
