// Compost colors for youkaishomecoming. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_handrail, #fff2da
egg_futomaki_slice, #868a6e
egg_nigiri, #cfa566
empty_hand_icon, #ffbfaf
espresso, #ffffff
fairy_candy, #4bfffc
fairy_ice_crystal, #ffffff
fine_grid_framed_shoji, #d9bb94
flesh, #f75746
flesh_chocolate_mousse, #ffffff
flesh_dumplings, #ffffff
flesh_feast, #c9b2a5
flesh_roll, #fffaf2
flesh_slice, #ff5a44
flesh_stew, #ffffea
frozen_frog_cold, #b9e7ff
frozen_frog_temperate, #dae4ff
frozen_frog_warm, #d6f2ff
full_moons_eve, #bbab93
genmai_tea, #d6e4e3
gray_ball_danmaku, #fafafa
gray_bubble_danmaku, #ffffff
gray_butterfly_danmaku, #cfcfcf
gray_circle_danmaku, #f5f5f5
gray_laser, #ffffff
gray_mentos_danmaku, #f0f0f0
gray_pencil, #ffffff
gray_spark_danmaku, #d7d7d7
gray_star_danmaku, #ffffff
green_ball_danmaku, #fffffa
green_bubble_danmaku, #ffffff
green_butterfly_danmaku, #f0ffed
green_circle_danmaku, #eeffee
green_coffee_bean, #ffffff
green_laser, #ffffff
green_mentos_danmaku, #eeffed
green_pencil, #ffffff
green_spark_danmaku, #ddffd4
green_star_danmaku, #ffffff
green_tea, #caedee
green_tea_leaves, #55a20c
green_water, #7cbeac
grilled_eel_over_rice, #a86228
grilled_venison, #d46128
grilled_venison_slice, #c65222
hakutsuru, #bc9866
han_palace, #8c7643
higan_soup, #5b868d
higi_chocolate, #aa947d
higi_doughnut, #d9b69e
hokkaido_salmon_hotpot, #8d7f6f
honey_glazed_cucumber, #ac6f1f
ice_cube, #c5f8ff
imitation_bear_paw, #b8895b
imitation_crab, #ff835e
jungle_handrail, #fffae6
kabayaki, #ffab89
kaguya_hime, #e0b258
kappa_maki, #55624b
kappa_maki_slice, #838d75
kappa_village, #b19b72
kiku, #aa7f52
kinako_dango, #ffdd9e
koishi_hat, #fffbff
koishi_mousse, #fffbff
lamprey_bucket, #9ba4a4
lamprey_skewer, #d6a48e
latte, #ffffff
light_blue_ball_danmaku, #deffff
light_blue_bubble_danmaku, #ffffff
light_blue_butterfly_danmaku, #caffff
light_blue_circle_danmaku, #b9ffff
light_blue_laser, #ffffff
light_blue_mentos_danmaku, #e7ffff
light_blue_pencil, #ffffff
light_blue_spark_danmaku, #beffff
light_blue_star_danmaku, #feffff
light_gray_ball_danmaku, #ffffff
light_gray_bubble_danmaku, #ffffff
light_gray_butterfly_danmaku, #fbfbfb
light_gray_circle_danmaku, #ffffff
light_gray_laser, #ffffff
light_gray_mentos_danmaku, #fafafa
light_gray_pencil, #ffffff
light_gray_spark_danmaku, #fafafa
light_gray_star_danmaku, #ffffff
lime_ball_danmaku, #ffffe6
lime_bubble_danmaku, #ffffff
lime_butterfly_danmaku, #ffffdc
lime_circle_danmaku, #ffffb9
lime_laser, #ffffff
lime_mentos_danmaku, #fcffeb
lime_pencil, #ffffff
lime_spark_danmaku, #ffffcc
lime_star_danmaku, #ffffff
lions_head, #875228
longevity_noodles, #ffffe4
lorelei_nigiri, #bf7551
macchiato, #ffffff
magenta_ball_danmaku, #ffc6ff
magenta_bubble_danmaku, #ffffff
magenta_butterfly_danmaku, #ffc3ff
magenta_circle_danmaku, #ffb9ff
magenta_laser, #ffffff
magenta_mentos_danmaku, #ffcdff
magenta_pencil, #ffffff
magenta_spark_danmaku, #ffa4ff
magenta_star_danmaku, #ffeeff
mandrake_flower, #8c5794
mandrake_root, #735b2f
mangrove_handrail, #ffd9d7
mantou, #fffbd7
mapo_tofu, #ffffee
matcha, #5e7f18
matcha_mochi, #ffffff
mayonnaise_bottle, #e8e7f2
mayonnaise_flask, #f2e8e6
mead, #ffffff
milk_popsicle, #ffffff
mio, #c8e0ff
miso_soup, #988034
mitarashi_dango, #d28a51
mocha, #ffffff
mochi, #fbebdc
mushroom_soup, #877066
nattou, #eb8c50
nattou_gunkan, #8a6c43
oak_handrail, #ffffe4
oily_bean_curd, #ffa56b
onigili, #ffffff
oolong_tea, #d4ede0
oolong_tea_leaves, #4b6216
orange_ball_danmaku, #ffffbf
orange_bubble_danmaku, #ffffe4
orange_butterfly_danmaku, #fffe91
orange_circle_danmaku, #ffffb9
orange_laser, #ffffff
orange_mentos_danmaku, #fff5d2
orange_pencil, #ffffff
orange_spark_danmaku, #ffee89
orange_star_danmaku, #ffffde
otoro, #ffb4ab
otoro_nigiri, #ffb9af
oyaki, #cfcd98
pastitsio, #dd9a6f
pink_ball_danmaku, #fff5ff
pink_bubble_danmaku, #ffffff
pink_butterfly_danmaku, #ffe8ff
pink_circle_danmaku, #ffb9ff
pink_laser, #ffffff
pink_mentos_danmaku, #fff8ff
pink_pencil, #ffffff
pink_spark_danmaku, #fffbff
pink_star_danmaku, #ffffff
pods, #b8d27f
poor_god_soup, #616612
pork_rice_ball, #ffffe7
potato_soup, #83694e
power_soup, #917864
purple_ball_danmaku, #ffd7ff
purple_bubble_danmaku, #ffeeff
purple_butterfly_danmaku, #ffa7ff
purple_circle_danmaku, #ffb9ff
purple_laser, #ffffff
purple_mentos_danmaku, #ffd9ff
purple_pencil, #ffffff
purple_spark_danmaku, #ffa0ff
purple_star_danmaku, #ffebff
rainbow_futomaki, #5a624b
rainbow_futomaki_slice, #83876e
rainbow_roll, #ff8461
rainbow_roll_slice, #ffa078
raisin, #b1972f
raw_bun, #fffac0
raw_flesh_feast, #ffffff
raw_imitation_bear_paw, #d2a090
raw_kaguya_hime, #86ac26
raw_lamprey, #acaa62
raw_lamprey_fillet, #fff4dd
raw_oyaki, #fff7c3
raw_rice_powder_pork, #8cb62a
raw_scholar_ginkgo, #e7dec2
raw_tuna, #ff727d
raw_tuna_slice, #fc4d5e
raw_tutu_congee, #75b41b
raw_venison, #e73341
raw_venison_slice, #d72d3c
red_ball_danmaku, #ffc5d3
red_bubble_danmaku, #fffced
red_butterfly_danmaku, #ffa4a4
red_circle_danmaku, #ffb9b9
red_grape, #694762
red_grape_juice, #ae91c9
red_grape_seeds, #c06846
red_laser, #ffffff
red_mentos_danmaku, #ffd6d9
red_pencil, #ffffff
red_spark_danmaku, #ff909e
red_star_danmaku, #ffe0eb
red_velvet_cake, #ffeede
red_velvet_cake_slice, #ffffff
red_wine, #bcaed7
red_wine_bottle, #401e1c
redbean, #aa3d34
reimu_hairband, #985775
rice_powder_pork, #e6c35b
ristretto, #ffffff
roasted_lamprey, #c98462
roasted_lamprey_fillet, #ffcab5
roe, #ff7334
roe_california_roll, #ff8047
roe_california_roll_slice, #ff9765
rumia_hairband, #bc6b8a
saidi_tea, #c5abcd
sake_bottle, #afeaff
sakura_honey_tea, #ffe8ff
sakura_mochi, #ffffff
salmon_futomaki, #5b614a
salmon_futomaki_slice, #87846b
salmon_lover_roll, #ff7c4a
salmon_lover_roll_slice, #ff9a68
sauce_grilled_fish, #b18758
saucer, #d7dcdd
scarlet_devil_cake, #ffffff
scarlet_mist, #ffffff
scarlet_tea, #d3beb5
scholar_ginkgo, #d0aa4b
seafood_miso_soup, #aa8634
seagrass_gunkan, #557c40
seared_tuna, #ffac87
seared_tuna_slice, #f88666
sekibankiyaki, #ffca7a
senbei, #ffffff
seven_colored_yokan, #edcdd0
shaved_ice_over_rice, #ffffff
shinnko_maki, #57624a
shinnko_maki_slice, #848c73
shirayuki, #af9468
signature_mushroom_stew, #7d6257
soy_sauce_bottle, #947d73
soy_sauce_flask, #937a70
soybean, #ffd997
sparrow_sake, #ffffff
spell_clownpiece, #d79ab2
spell_koishi, #b5ea91
spell_marisa, #b6b6b6
spell_mystia, #d2b29d
spell_reimu, #ffeaf2
spell_remilia, #ed93c8
spell_sanae, #91ebc5
spell_yukari_butterfly, #c591eb
spell_yukari_laser, #c591eb
spruce_handrail, #feedd7
steamed_crab, #d24726
steamed_egg_in_bamboo, #eec957
stinky_tofu, #7f705a
straw_hat, #fffce3
stripped_mandrake_root, #895c43
suigei, #aba28c
suwako_hat, #ffeacc
sweet_ormosia_mochi_mixed_boiled, #93763e
tamagoyaki, #ffc858
tamagoyaki_slice, #ffbc51
tarte_lune, #ffffed
tarte_lune_slice, #ffffff
tea_leaves, #79a830
tea_mocha, #ffffff
tea_seeds, #a16634
tekka_maki, #575e4a
tekka_maki_slice, #848773
tengu_tango, #a86e3c
tobiko_gunkan, #985430
tofu, #fffffe
tofu_burger, #dd7370
tofu_crab_stew, #9b5f14
tomato_sauce_cod, #dcab8e
tsukimi_dango, #ffffff
tuna_bucket, #c6b4a2
tuna_nigiri, #fc7d83
tuscan_salmon, #b97a40
tutu_congee, #ebcd69
udumbara_cake, #c59eb4
udumbara_flower, #ffffff
udumbara_seeds, #117a65
van_allen, #bfa7e7
van_allen_bottle, #6e6466
volcano_roll, #fea19b
volcano_roll_slice, #ffccbf
warped_handrail, #d3f0eb
white_ball_danmaku, #ffffff
white_bubble_danmaku, #ffffff
white_butterfly_danmaku, #ffffff
white_circle_danmaku, #ffffff
white_grape, #758a4a
white_grape_juice, #b1d7d9
white_grape_seeds, #b87962
white_laser, #ffffff
white_mentos_danmaku, #ffffff
white_pencil, #ffffff
white_spark_danmaku, #ffffff
white_star_danmaku, #ffffff
white_tea, #e6ffff
white_tea_leaves, #ded38e
white_wine, #ebffff
white_wine_bottle, #5e512f
wild_black_grape, #4a753e
wild_coffea, #a4b464
wild_cucumber, #3e7234
wild_mandrake, #dcf4d7
wild_red_grape, #69762f
wild_redbean, #afbf44
wild_soybean, #ebb54b
wild_tea, #9ac858
wild_udumbara, #b6f5f7
wild_white_grape, #6c8e23
wind_priestesses, #ffffff
yakumo_inari, #ffa562
yashouma_dango, #ffffff
yellow_ball_danmaku, #ffffc3
yellow_bubble_danmaku, #ffffed
yellow_butterfly_danmaku, #ffff97
yellow_circle_danmaku, #ffffb9
yellow_laser, #ffffff
yellow_mentos_danmaku, #ffffd3
yellow_pencil, #ffffff
yellow_spark_danmaku, #ffff8a
yellow_star_danmaku, #ffffde
yellow_tea, #e4ebdd
yellow_tea_leaves, #806808
